"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_goal_30",0,NA,NA,NA,NA
"b_goal_60",-0.191342947700349,0.0772047095116563,-2.47838440051977,0.083966388809778,-2.27880405972713
"b_goal_90",-0.867379608226306,0.0761685429614271,-11.3876355579699,0.0943639649537719,-9.19185208730078
"b_form_cash",0,NA,NA,NA,NA
"b_form_voucher",-0.518828896191879,0.0710624814272154,-7.30102419408589,0.0759480426524592,-6.83136626135393
"b_form_donate",-1.96008930123901,0.086329497811953,-22.7047457811995,0.113331792204911,-17.2951407818122
"b_mag_160",0,NA,NA,NA,NA
"b_mag_300",0.638705183065112,0.0812461302589955,7.86136128611978,0.0798298290003596,8.00083366159076
"b_mag_500",0.841128030167527,0.0746401319328809,11.2691123178065,0.08854400128001,9.49954845057836
"b_dir_pos",0,NA,NA,NA,NA
"b_dir_neg",-0.0621248129016147,0.0537154251033164,-1.15655443072681,0.054757176142004,-1.13455107218283
